COMMON_NAME,classification
Scaly-naped Pigeon,L
Puerto Rican Flycatcher,L
Greater Antillean Grackle,L
Puerto Rican Spindalis,L
Adelaide's Warbler,L
Gray Kingbird,L
Green-throated Carib,L
Puerto Rican Woodpecker,L
Puerto Rican Oriole,L
Mangrove Cuckoo,L
Pearly-eyed Thrasher,L
Smooth-billed Ani,L
Shiny Cowbird,L
White-browed Scrubwren,L
Little Friarbird,L
Mistletoebird,L
Red-backed Fairywren,L
Brahminy Kite,R
Lesser Black-backed Gull,W
Northern Goshawk,R
Red-legged Thrush,L
Least Sandpiper,W
Greater Yellowlegs,W
Virginia Rail,W
Surf Scoter,W
Long-billed Dowitcher,W
Great Thrush,L
Black Flowerpiercer,L
Hooded Siskin,L
Sparkling Violetear,L
Eared Dove,L
Black-tailed Trainbearer,L
Masked Flowerpiercer,L
Cinereous Conebill,L
Rufous-collared Sparrow,L
Red-crested Cardinal,L
Vermilion Flycatcher,L
Harris's Hawk,R
Brown-bellied Swallow,L
Southern Beardless-Tyrannulet,L
Blue-gray Tanager,L
White-crested Elaenia,L
Blue-and-white Swallow,L
California Quail,L
White-tailed Kite,R
Hooded Oriole,L
Eurasian Blackbird,L
Bell Miner,L
Little Wattlebird,L
Galah,L
Red-rumped Parrot,L
Brown Thornbill,L
Little Raven,L
Eastern Spinebill,L
Rufous Night-Heron,W
White-faced Heron,W
Red Wattlebird,L
New Holland Honeyeater,L
Spotted Pardalote,L
White-plumed Honeyeater,L
Flame Robin,L
Eastern Rosella,L
Mottled Duck,W
Reddish Egret,W
Roseate Spoonbill,W
Short-tailed Hawk,R
Wood Stork,W
Vesper Sparrow,L
Least Tern,W
Brant,W
American Oystercatcher,W
Short-billed Dowitcher,W
Black-necked Stilt,W
Marbled Godwit,W
Willet,W
Ridgway's Rail,W
White-faced Ibis,W
Long-billed Curlew,W
Whimbrel,W
Yellow Rail,L
Common Chaffinch,L
Eurasian Reed-Warbler,L
Eurasian Nuthatch,L
Eurasian Green Woodpecker,L
Rose-ringed Parakeet,L
